,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
46,ABMAP11928,Tibia,95.5,Bp,Roman - Saxon,43 -- 410
51,ABMAP11929,Tibia,95.5,Bp,Roman - Saxon,43 -- 410
147,ABMAP3117,Tibia,97.8,Bp,Roman - Saxon,43 -- 410
350,ABMAP26117,Tibia,88.5,Bp,Roman - Saxon,733 -- 832
390,ABMAP25548,Tibia,90.0,Bp,Roman - Saxon,833 -- 932
392,ABMAP26510,Tibia,90.0,Bp,Roman - Saxon,833 -- 932
453,ABMAP25549,Tibia,88.2,Bp,Roman - Saxon,833 -- 932
505,ABMAP26511,Tibia,88.2,Bp,Roman - Saxon,833 -- 932
597,ABMAP2976,Tibia,90.0,Bp,Roman - Saxon,900 -- 999
639,ABMAP2978,Tibia,89.6,Bp,Medieval,1200 -- 1399
645,ABMAP2979,Tibia,88.3,Bp,Medieval,1200 -- 1399
785,ABMAP480,Tibia,61.9,Bp,Bronze - Iron Age,-100 -- -43
1427,ABMAP16626,Tibia,89.1,Bp,Medieval,1033 -- 1199
1433,ABMAP16627,Tibia,86.8,Bp,Medieval,1033 -- 1199
1478,ABMAP16623,Tibia,87.3,Bp,Medieval,1167 -- 1399
1708,ABMAP28082,Tibia,89.3,Bp,Roman - Saxon,800 -- 1066
1980,ABMAP9041,Tibia,85.5,Bp,Bronze - Iron Age,-299 -- -100
1989,ABMAP8935,Tibia,86.0,Bp,Bronze - Iron Age,-299 -- -100
2169,J_GRIMM_08WA59480-1141,Tibia,88.5,Bp,Bronze - Iron Age,-400 -- 43
2268,J_GRIMM_08WA61900-632,Tibia,85.6,Bp,Medieval,1066 -- 1499
2410,ABMAP13911,Tibia,85.5,Bp,Medieval,1300 -- 1499
2558,ABMAP15713,Tibia,77.7,Bp,Bronze - Iron Age,-400 -- -100
3051,ABMAP10840,Tibia,87.0,Bp,Roman - Saxon,200 -- 410
