,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
4,ABMAP8672,Tibia,46.1,Dd,Medieval,1540 -- 1699
22,ABMAP11935,Tibia,40.3,Dd,Roman - Saxon,43 -- 410
47,ABMAP11928,Tibia,45.5,Dd,Roman - Saxon,43 -- 410
52,ABMAP11929,Tibia,45.5,Dd,Roman - Saxon,43 -- 410
59,ABMAP16907,Tibia,44.3,Dd,Roman - Saxon,700 -- 899
100,ABMAP15413,Tibia,38.5,Dd,Roman - Saxon,43 -- 410
227,ABMAP17083,Tibia,36.0,Dd,Bronze - Iron Age,-99 -- 99
233,ABMAP17122,Tibia,40.0,Dd,Bronze - Iron Age,-99 -- 99
246,ABMAP17086,Tibia,40.5,Dd,Bronze - Iron Age,-99 -- 99
373,ABMAP26118,Tibia,43.9,Dd,Roman - Saxon,733 -- 832
454,ABMAP25549,Tibia,43.6,Dd,Roman - Saxon,833 -- 932
506,ABMAP26511,Tibia,43.6,Dd,Roman - Saxon,833 -- 932
560,ABMAP25998,Tibia,43.8,Dd,Roman - Saxon,700 -- 732
577,ABMAP13842,Tibia,45.0,Dd,Roman - Saxon,43 -- 199
598,ABMAP2976,Tibia,43.2,Dd,Roman - Saxon,900 -- 999
640,ABMAP2978,Tibia,40.0,Dd,Medieval,1200 -- 1399
646,ABMAP2979,Tibia,40.5,Dd,Medieval,1200 -- 1399
704,ABMAP16579,Tibia,41.3,Dd,Medieval,1139 -- 1200
736,ABMAP20057,Tibia,53.0,Dd,Medieval,1700 -- 1799
740,ABMAP20058,Tibia,45.0,Dd,Medieval,1700 -- 1799
762,ABMAP20056,Tibia,45.0,Dd,Medieval,1700 -- 1899
800,ABMAP529,Tibia,42.9,Dd,Bronze - Iron Age,-100 -- -43
841,ABMAP578,Tibia,42.5,Dd,Bronze - Iron Age,-100 -- -43
1384,ABMAP16625,Tibia,38.5,Dd,Medieval,1367 -- 1499
1428,ABMAP16626,Tibia,42.3,Dd,Medieval,1033 -- 1199
1434,ABMAP16627,Tibia,42.2,Dd,Medieval,1033 -- 1199
1479,ABMAP16623,Tibia,35.1,Dd,Medieval,1167 -- 1399
1503,ABMAP16624,Tibia,42.3,Dd,Medieval,1367 -- 1499
1536,ABMAP9517,Tibia,47.3,Dd,Roman - Saxon,367 -- 399
1538,ABMAP9518,Tibia,40.0,Dd,Roman - Saxon,367 -- 399
1563,ABMAP9519,Tibia,48.1,Dd,Roman - Saxon,300 -- 399
1582,ABMAP9514,Tibia,39.5,Dd,Roman - Saxon,67 -- 132
1587,ABMAP9515,Tibia,37.5,Dd,Roman - Saxon,67 -- 199
1591,ABMAP9516,Tibia,52.0,Dd,Roman - Saxon,67 -- 199
1669,ABMAP1935,Tibia,39.6,Dd,Roman - Saxon,43 -- 410
1675,ABMAP1896,Tibia,38.4,Dd,Roman - Saxon,43 -- 410
1677,ABMAP1871,Tibia,40.9,Dd,Roman - Saxon,43 -- 410
1692,ABMAP13141,Tibia,46.9,Dd,Roman - Saxon,650 -- 850
1839,ABMAP1307,Tibia,35.0,Dd,Roman - Saxon,43 -- 410
1852,ABMAP1005,Tibia,46.6,Dd,Roman - Saxon,43 -- 410
1869,ABMAP1136,Tibia,40.7,Dd,Roman - Saxon,43 -- 410
1871,ABMAP1137,Tibia,36.6,Dd,Roman - Saxon,43 -- 410
1914,ABMAP742,Tibia,39.9,Dd,Roman - Saxon,43 -- 410
1925,ABMAP1232,Tibia,38.8,Dd,Roman - Saxon,43 -- 410
1927,ABMAP1233,Tibia,42.3,Dd,Roman - Saxon,43 -- 410
1929,ABMAP1234,Tibia,43.1,Dd,Roman - Saxon,43 -- 410
1934,ABMAP1199,Tibia,39.5,Dd,Roman - Saxon,43 -- 410
1942,ABMAP1277,Tibia,37.5,Dd,Roman - Saxon,43 -- 410
1954,ABMAP839,Tibia,40.5,Dd,Roman - Saxon,43 -- 410
1958,ABMAP781,Tibia,43.9,Dd,Roman - Saxon,43 -- 410
2053,J_GRIMM_08WA56530-1311,Tibia,44.0,Dd,Roman - Saxon,43 -- 200
2102,J_GRIMM_08WA58720-35,Tibia,44.4,Dd,Medieval,1400 -- 1500
2374,ABMAP14025,Tibia,37.0,Dd,Roman - Saxon,43 -- 410
2392,ABMAP13902,Tibia,46.5,Dd,Medieval,1300 -- 1499
2411,ABMAP13911,Tibia,39.6,Dd,Medieval,1300 -- 1499
