,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
48,ABMAP11928,Tibia,346.0,GL,Roman - Saxon,43 -- 410
53,ABMAP11929,Tibia,346.0,GL,Roman - Saxon,43 -- 410
351,ABMAP26117,Tibia,328.0,GL,Roman - Saxon,733 -- 832
374,ABMAP26118,Tibia,340.0,GL,Roman - Saxon,733 -- 832
455,ABMAP25549,Tibia,340.0,GL,Roman - Saxon,833 -- 932
507,ABMAP26511,Tibia,340.0,GL,Roman - Saxon,833 -- 932
578,ABMAP13842,Tibia,353.0,GL,Roman - Saxon,43 -- 199
599,ABMAP2976,Tibia,330.0,GL,Roman - Saxon,900 -- 999
641,ABMAP2978,Tibia,328.0,GL,Medieval,1200 -- 1399
647,ABMAP2979,Tibia,329.0,GL,Medieval,1200 -- 1399
737,ABMAP20057,Tibia,388.0,GL,Medieval,1700 -- 1799
842,ABMAP578,Tibia,318.0,GL,Bronze - Iron Age,-100 -- -43
920,ABMAP28650,Tibia,318.0,GL,Medieval,1450 -- 1800
1138,ABMAP29502,Tibia,326.5,GL,Medieval,1100 -- 1250
1161,ABMAP29432,Tibia,317.2,GL,Roman - Saxon,950 -- 1100
1229,ABMAP28806,Tibia,325.9,GL,Medieval,1100 -- 1250
1283,ABMAP28785,Tibia,298.9,GL,Medieval,1250 -- 1400
1292,ABMAP28855,Tibia,327.7,GL,Medieval,1100 -- 1250
1373,ABMAP3506,Tibia,297.0,GL,Bronze - Iron Age,-800 -- 43
1429,ABMAP16626,Tibia,325.0,GL,Medieval,1033 -- 1199
1435,ABMAP16627,Tibia,323.0,GL,Medieval,1033 -- 1199
1480,ABMAP16623,Tibia,330.0,GL,Medieval,1167 -- 1399
1564,ABMAP9519,Tibia,355.0,GL,Roman - Saxon,300 -- 399
1588,ABMAP9515,Tibia,314.0,GL,Roman - Saxon,67 -- 199
1915,ABMAP742,Tibia,316.0,GL,Roman - Saxon,43 -- 410
1955,ABMAP839,Tibia,306.0,GL,Roman - Saxon,43 -- 410
1959,ABMAP781,Tibia,336.0,GL,Roman - Saxon,43 -- 410
1981,ABMAP9041,Tibia,320.0,GL,Bronze - Iron Age,-299 -- -100
1990,ABMAP8935,Tibia,320.0,GL,Bronze - Iron Age,-299 -- -100
2171,J_GRIMM_08WA59480-1141,Tibia,347.0,GL,Bronze - Iron Age,-400 -- 43
2179,J_GRIMM_08WA59480-1749,Tibia,328.0,GL,Bronze - Iron Age,100 -- 150
2270,J_GRIMM_08WA61900-632,Tibia,328.0,GL,Medieval,1066 -- 1499
2351,J_GRIMM_08WA63661-214,Tibia,312.0,GL,Bronze - Iron Age,-700 -- -100
2412,ABMAP13911,Tibia,322.0,GL,Medieval,1300 -- 1499
2517,ABMAP16218,Tibia,320.9,GL,Bronze - Iron Age,-800 -- -400
2524,ABMAP15759,Tibia,305.0,GL,Bronze - Iron Age,-400 -- -100
2560,ABMAP15713,Tibia,277.8,GL,Bronze - Iron Age,-400 -- -100
2615,ABMAP15695,Tibia,320.0,GL,Bronze - Iron Age,-400 -- -100
2656,ABMAP15791,Tibia,282.2,GL,Bronze - Iron Age,-400 -- -100
2762,ABMAP8662,Tibia,314.0,GL,Roman - Saxon,43 -- 100
2785,ABMAP426,Tibia,319.0,GL,Bronze - Iron Age,-50 -- 75
3053,ABMAP10840,Tibia,346.0,GL,Roman - Saxon,200 -- 410
