,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
148,ABMAP3117,Tibia,338.0,Ll,Roman - Saxon,43 -- 410
352,ABMAP26117,Tibia,299.0,Ll,Roman - Saxon,733 -- 832
375,ABMAP26118,Tibia,305.0,Ll,Roman - Saxon,733 -- 832
456,ABMAP25549,Tibia,298.7,Ll,Roman - Saxon,833 -- 932
508,ABMAP26511,Tibia,298.7,Ll,Roman - Saxon,833 -- 932
600,ABMAP2976,Tibia,300.0,Ll,Roman - Saxon,900 -- 999
642,ABMAP2978,Tibia,309.0,Ll,Medieval,1200 -- 1399
648,ABMAP2979,Tibia,314.0,Ll,Medieval,1200 -- 1399
1430,ABMAP16626,Tibia,295.0,Ll,Medieval,1033 -- 1199
1436,ABMAP16627,Tibia,292.0,Ll,Medieval,1033 -- 1199
1481,ABMAP16623,Tibia,290.0,Ll,Medieval,1167 -- 1399
1670,ABMAP1935,Tibia,298.0,Ll,Roman - Saxon,43 -- 410
1916,ABMAP742,Tibia,287.0,Ll,Roman - Saxon,43 -- 410
1960,ABMAP781,Tibia,308.0,Ll,Roman - Saxon,43 -- 410
2518,ABMAP16218,Tibia,295.0,Ll,Bronze - Iron Age,-800 -- -400
2561,ABMAP15713,Tibia,253.4,Ll,Bronze - Iron Age,-400 -- -100
2657,ABMAP15791,Tibia,257.1,Ll,Bronze - Iron Age,-400 -- -100
