,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
49,ABMAP11928,Tibia,42.5,SD,Roman - Saxon,43 -- 410
54,ABMAP11929,Tibia,42.5,SD,Roman - Saxon,43 -- 410
101,ABMAP15413,Tibia,33.8,SD,Roman - Saxon,43 -- 410
149,ABMAP3117,Tibia,42.9,SD,Roman - Saxon,43 -- 410
155,ABMAP69,Tibia,42.8,SD,Roman - Saxon,775 -- 800
162,ABMAP70,Tibia,42.8,SD,Roman - Saxon,775 -- 800
181,ABMAP72,Tibia,44.7,SD,Roman - Saxon,775 -- 800
353,ABMAP26117,Tibia,38.3,SD,Roman - Saxon,733 -- 832
457,ABMAP25549,Tibia,39.1,SD,Roman - Saxon,833 -- 932
509,ABMAP26511,Tibia,39.1,SD,Roman - Saxon,833 -- 932
561,ABMAP25998,Tibia,36.7,SD,Roman - Saxon,700 -- 732
579,ABMAP13842,Tibia,40.0,SD,Roman - Saxon,43 -- 199
601,ABMAP2976,Tibia,40.6,SD,Roman - Saxon,900 -- 999
603,ABMAP2977,Tibia,40.6,SD,Roman - Saxon,900 -- 999
643,ABMAP2978,Tibia,36.4,SD,Medieval,1200 -- 1399
649,ABMAP2979,Tibia,37.3,SD,Medieval,1200 -- 1399
738,ABMAP20057,Tibia,48.0,SD,Medieval,1700 -- 1799
741,ABMAP20058,Tibia,38.9,SD,Medieval,1700 -- 1799
843,ABMAP578,Tibia,36.8,SD,Bronze - Iron Age,-100 -- -43
1346,ABMAP17699,Tibia,31.1,SD,Medieval,1400 -- 1599
1374,ABMAP3506,Tibia,33.28,SD,Bronze - Iron Age,-800 -- 43
1385,ABMAP16625,Tibia,32.5,SD,Medieval,1367 -- 1499
1431,ABMAP16626,Tibia,36.8,SD,Medieval,1033 -- 1199
1437,ABMAP16627,Tibia,35.7,SD,Medieval,1033 -- 1199
1504,ABMAP16624,Tibia,34.5,SD,Medieval,1367 -- 1499
1589,ABMAP9515,Tibia,33.8,SD,Roman - Saxon,67 -- 199
1671,ABMAP1935,Tibia,34.0,SD,Roman - Saxon,43 -- 410
1917,ABMAP742,Tibia,35.9,SD,Roman - Saxon,43 -- 410
1956,ABMAP839,Tibia,32.6,SD,Roman - Saxon,43 -- 410
1961,ABMAP781,Tibia,40.4,SD,Roman - Saxon,43 -- 410
1991,ABMAP8935,Tibia,34.0,SD,Bronze - Iron Age,-299 -- -100
2054,J_GRIMM_08WA56530-1311,Tibia,36.6,SD,Roman - Saxon,43 -- 200
2103,J_GRIMM_08WA58720-35,Tibia,39.6,SD,Medieval,1400 -- 1500
2128,J_GRIMM_08WA58720-36,Tibia,37.8,SD,Medieval,1075 -- 1125
2172,J_GRIMM_08WA59480-1141,Tibia,37.6,SD,Bronze - Iron Age,-400 -- 43
2180,J_GRIMM_08WA59480-1749,Tibia,31.9,SD,Bronze - Iron Age,100 -- 150
2271,J_GRIMM_08WA61900-632,Tibia,32.3,SD,Medieval,1066 -- 1499
2375,ABMAP14025,Tibia,33.0,SD,Roman - Saxon,43 -- 410
2413,ABMAP13911,Tibia,36.5,SD,Medieval,1300 -- 1499
2495,ABMAP8681,Tibia,36.1,SD,Roman - Saxon,900 -- 1099
2519,ABMAP16218,Tibia,33.2,SD,Bronze - Iron Age,-800 -- -400
2562,ABMAP15713,Tibia,33.4,SD,Bronze - Iron Age,-400 -- -100
2616,ABMAP15695,Tibia,32.4,SD,Bronze - Iron Age,-400 -- -100
2658,ABMAP15791,Tibia,31.4,SD,Bronze - Iron Age,-400 -- -100
2786,ABMAP426,Tibia,33.0,SD,Bronze - Iron Age,-50 -- 75
2998,ABMAP14259,Tibia,33.0,SD,Roman - Saxon,43 -- 410
3037,ABMAP5548,Tibia,41.0,SD,Modern,1900 -- 2500
3054,ABMAP10840,Tibia,35.0,SD,Roman - Saxon,200 -- 410
