,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
2055,J_GRIMM_08WA57960-69,Ulna,39.7,BPC,Medieval,1225 -- 1350
2056,J_GRIMM_08WA57960-69,Ulna,59.2,DPA,Medieval,1225 -- 1350
2111,J_GRIMM_08WA58720-31,Ulna,62.0,DPA,Medieval,1075 -- 1125
2112,J_GRIMM_08WA58720-31,Ulna,52.9,SDO,Medieval,1075 -- 1125
2162,J_GRIMM_08WA59480-1382,Ulna,36.0,BPC,Bronze - Iron Age,100 -- 150
2163,J_GRIMM_08WA59480-1382,Ulna,58.2,DPA,Bronze - Iron Age,100 -- 150
2164,J_GRIMM_08WA59480-1382,Ulna,47.5,SDO,Bronze - Iron Age,100 -- 150
2255,J_GRIMM_08WA61900-25,Ulna,42.5,BPC,Medieval,1100 -- 1299
2256,J_GRIMM_08WA61900-25,Ulna,65.2,DPA,Medieval,1100 -- 1299
2263,J_GRIMM_08WA61900-2,Ulna,39.3,BPC,Medieval,1100 -- 1299
