Code,Measurement,Reference
1,"Antero-posterior depth of external trochlea, medial condyle metapodial",Davis 1992 p14
10,"Length of molar row measured along alveoli, dog",Driesch 1976 p61
10b,Breadth of M3,"Driesch 1976 p57, 59, Payne & Bull 1988 p42"
10l,Length of M3,"Driesch 1976 p57, 59, Payne & Bull 1988 p42"
11,"Length of diastema, cattle, ovicapra, pig; P1-P4 dog","Driesch 1976 p57, 59, 61"
12,"Length of premolar row P2-P4 along alveoli, dog",Driesch 1976 p61
13,"Middle height vertical ramus, cattle, ovicapra",Driesch 1976 p57
13P,"Aboral height of the vertical ramus, pig",Driesch 1976 p59
14,"Oral height of vertical ramus, cattle, ovicapra; length mandibular carnassial alveolus, dog",Driesch 1976 p57
14B,Breadth of M3,Von den Driesch 1976 p. 53
14L,Length of M3,Von den Driesch 1976 p. 53
14P,"Middle height of vertical ramus, pig",Driesch 1976 p59
15,"Length of maxillary cheektooth row, dog",Driesch 1976 p42
15b,"Breadth of M2, dog",Driesch 1976 p61
15c,"Height of the mandible in front of P2, cattle, ovicapra",Driesch 1976 p57
15l,"Length of M2, dog",Driesch 1976 p61
16,"Length maxillary molar row, dog",Driesch 1976 p42
16b,"Breadth of M3, dog",Driesch 1976 p61
16c,Height of mandible in front of P2 in pig,Driesch 1976 p59
16l,"Length of M3, dog",Driesch 1976 p61
17,"Length maxillary PM row, dog",Driesch 1976 p42
17m,"Greatest thickness body of jaw below M1, dog",Driesch 1976 p61
18,"Height of the vertical ramus, dog",Driesch 1976 p61
19,Length maxillary carnassial alveolus dog,Driesch 1976 p42
19m,"Height of mandible behind M1, dog",Driesch 1976 p61
2,"Length of mandible: angular process - infradentale, dog",Driesch 1976 p61
20,"Height of mandible between P2 and P3, dog",Driesch 1976 p61
20b,"Breadth M1 at cingulum, dog",Driesch 1976 p42
20l,"Length M1 at cingulum, dog",Driesch 1976 p42
21b,"Breadth M2 at cingulum, dog",Driesch 1976 p42
21l,"Length M2 at cingulum, dog",Driesch 1976 p42
22,"Greatest diameter of the auditory bulla, dog",Driesch 1976 p43
23,Length of the premolar row measured along the alveoli on the buccal side,Von den Driesch 1976 p. 31
25,"Greatest breadth of the occipital condyles, dog",Driesch 1976 p43
27,"Greatest breadth of the foramen magnum, dog",Driesch 1976 p43
28,"Height of the foramen magnum: basion-opisthion, dog",Driesch 1976 p43
31,"Least breadth of the skull, dog",Driesch 1976 p43
32,"Frontal breadth: ectorbitale-ectorbitale, dog",Driesch 1976 p43
33,"Least breadth between orbits: entorbitale-entorbitale, dog",Driesch 1976 p43
37,"Greatest inner height of the orbit, dog",Driesch 1976 p43
4,"Antero-posterior depth of external trochlea, lateral condyle metapodial",Davis 1992 p14
40,"Horncore basal circumference, ovicapra",Driesch 1976 p34
41,"Greatest diameter of the horn core base, ovicapra",Driesch 1976 p34
42,"Least diameter of horn core base, ovicapra",Driesch 1976 p34
43,"Length of horn core on front margin, ovicapra",Driesch 1976 p34
44,"Horncore basal circumference, cattle",Driesch 1976 p28
45,"Greatest diameter horn core base, cattle",Driesch 1976 p28
46,"Least diameter of horn core base, cattle",Driesch 1976 p28
47,"Length outer curvature of horn core, cattle",Driesch 1976 p28
5,"Length: indentation between processes to aboral border of the canine alveolus, dog",Driesch 1976 p61
7,"Length of cheektooth row P2-M3, cattle, ovicapra; P1-M3, pig","Driesch 1976 p57, 59"
7a,"Length of cheektooth row, P2-M3, pig",Driesch 1976 p57
8,"Length of molar row, cattle, ovicapra, pig; P1-M3, dog","Driesch 1976 p57, 59, 61"
9,"Length of premolar row, cattle, ovicapra, pig; P2-M3 dog","Driesch 1976 p57, 59, 61"
9B,Breadth of P2,Von den Driesch 1976 p. 53
9L,Length of P2,Von den Driesch 1976 p. 53
9a,"Length of premolar row, P2-P4, pig",Driesch 1976 p59
